s,true,pred5,pred10,pred15,pred20,err5,err10,err15,err20
5.443037975,1.694337356,1.691236724,1.694164222,1.706452424,1.948405998,-0.003100632339,-0.0001731339619,0.01211506772,0.2540686421
5.556962025,1.715051561,1.71085441,1.714900065,1.727973114,1.904361476,-0.004197150444,-0.0001514959107,0.01292155365,0.1893099156
5.670886076,1.73534538,1.730144849,1.735225081,1.747955702,1.848383399,-0.00520053081,-0.0001202993361,0.01261032221,0.1130380186
5.784810127,1.755235538,1.749138945,1.755153817,1.766461603,1.786213427,-0.006096592997,-8.172178937e-05,0.01122606453,0.03097788886
5.898734177,1.774737782,1.767864966,1.774699423,1.783638531,1.724208453,-0.00687281538,-3.835871149e-05,0.008900748996,-0.05052932837
6.012658228,1.793866952,1.786348542,1.793873883,1.799711161,1.66889789,-0.007518410038,6.931005834e-06,0.005844209132,-0.1249690616
6.126582278,1.812637054,1.804612664,1.812688246,1.814965624,1.626474871,-0.008024390607,5.119169855e-05,0.002328569929,-0.1861621836
6.240506329,1.831061322,1.822677688,1.831152864,1.829728666,1.602256604,-0.008383633889,9.154225625e-05,-0.001332655237,-0.228804718
6.35443038,1.849152267,1.840561331,1.849277612,1.844342718,1.600158113,-0.008590935882,0.0001253443245,-0.004809548935,-0.2489941546
6.46835443,1.866921738,1.858278675,1.867072097,1.859138506,1.622230209,-0.008643062834,0.0001503596428,-0.007783231529,-0.2446915284
6.582278481,1.884380959,1.875842161,1.884545848,1.874407131,1.668315624,-0.00853879784,0.0001648890141,-0.009973828424,-0.2160653349
6.696202532,1.901540579,1.893261596,1.901708465,1.890373764,1.735875654,-0.008278983437,0.0001678858644,-0.01116681539,-0.1656649252
6.810126582,1.918410708,1.910544147,1.918569746,1.90717521,1.82003249,-0.007866560612,0.0001590380177,-0.01123549787,-0.09837821774
6.924050633,1.93500095,1.927694345,1.935139762,1.924843524,1.913858885,-0.007306604564,0.0001388122006,-0.01015742564,-0.02114206501
